我是山姆,2001,美国,剧情 家庭,9.0,325101,爱并不需要智商 。
头号玩家,2018,美国,动作 科幻 冒险,8.7,1317666,写给影迷，动漫迷和游戏迷的一封情书。
模仿游戏,2014,英国 美国,剧情 传记 战争 同性,8.8,621645,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
恐怖直播,2013,韩国,剧情 犯罪 悬疑,8.7,629114,恐怖分子的“秋菊打官司”。
喜宴,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,343313,中国家庭的喜怒哀乐忍。
血战钢锯岭,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,758802,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士,1954,日本,动作 冒险 剧情,9.3,188949,时代悲歌。
花样年华,2000,中国香港,剧情 爱情,8.7,578289,偷情本没有这样美。
九品芝麻官,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,640198,愿我们都不用长大，每一座城堡都能永远存在。
黑客帝国3：矩阵革命,2003,美国,动作 科幻,8.8,430916,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
惊魂记,1960,美国,悬疑 惊悚 恐怖,9.0,275352,故事的反转与反转，分裂电影的始祖。
色，戒,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.6,753520,假戏真情，爱欲深海
电锯惊魂,2004,美国,悬疑 惊悚 恐怖,8.8,509722,真相就在眼前。
茶馆,1982(中国大陆),中国大陆,剧情 历史,9.5,127423,怼天怼地，你走后，她与世界为敌。
你的名字。,2016,日本,剧情 爱情 动画,8.5,1336678,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
达拉斯买家俱乐部,2013,美国,剧情 传记 同性,8.8,436999,Jared Leto的腿比女人还美！
疯狂原始人,2013,美国,喜剧 动画 冒险,8.7,810168,老少皆宜，这就是好莱坞动画的魅力。
卢旺达饭店,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,316562,当这个世界闭上双眼，他却敞开了怀抱。
心迷宫,2014,中国大陆,剧情 犯罪 悬疑,8.7,498495,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
上帝之城,2002,巴西 法国,犯罪 剧情,9.0,292111,被上帝抛弃了的上帝之城。
谍影重重3,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.8,402775,像吃了苏打饼一样干脆的电影。
英雄本色,1986,中国香港,剧情 动作 犯罪,8.6,513583,英雄泪短，兄弟情长。 
风之谷,1984,日本,动画 奇幻 冒险,8.9,343364,动画片的圣经。
纵横四海,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,404402,香港浪漫主义警匪动作片的巅峰之作。
海街日记,2015,日本,剧情 家庭,8.8,428044,是枝裕和的家庭习作。
绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,314482,天使暂时离开。
爱在午夜降临前,2013,美国 希腊,剧情 爱情,8.9,379979,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,580952,一个针管引发的血案。
岁月神偷,2010,中国香港 中国大陆,剧情 家庭,8.7,560729,岁月流逝，来日可追。
忠犬八公物语,1987,日本,剧情,9.2,186499,养狗三日，便会对你终其一生。
荒蛮故事,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,426785,始于荒诞，止于更荒诞。
疯狂的石头,2006,中国大陆 中国香港,喜剧 犯罪,8.6,787433,中国版《两杆大烟枪》。
爆裂鼓手,2014,美国,剧情 音乐,8.7,562953,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
小偷家族,2018,日本,剧情 犯罪 家庭,8.7,786903,我们组成了家。
无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险,8.7,515783,迪士尼和皮克斯拿错剧本的产物。
雨中曲,1952,美国,喜剧 歌舞 爱情,9.1,212065,骨灰级歌舞片。
贫民窟的百万富翁,2008,英国,剧情 爱情,8.6,722888,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
冰川时代,2002,美国,喜剧 动画 冒险,8.6,590544,松鼠才是角儿。
东邪西毒,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,555183,电影诗。
2001太空漫游,1968,英国 美国,科幻 惊悚 冒险,8.9,305996,现代科幻电影的开山之作，最伟大导演的最伟大影片。
恐怖游轮,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,820977,不要企图在重复中寻找已经失去的爱。
真爱至上,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,710851,爱，是个动词。
无间道2,2003,中国香港,剧情 犯罪 惊悚,8.7,452980,感情不分食草或者食肉。
遗愿清单,2007,美国,冒险 喜剧 剧情,8.7,435464,用剩余不多的时间，去燃烧整个生命。
牯岭街少年杀人事件,1991,中国台湾,剧情 犯罪,8.9,282219,弱者送给弱者的一刀。
黑天鹅,2010,美国,剧情 惊悚,8.6,759800,黑暗之美。
魔女宅急便,1989,日本,动画 奇幻 冒险,8.7,439930,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
东京教父,2003,日本,剧情 喜剧 动画,9.0,213566,人们可以登上月球，却永远无法探索人们内心的宇宙。
可可西里,2004,中国大陆 中国香港,剧情 犯罪,8.9,291481,坚硬的信仰。
城市之光,1931,美国,喜剧 剧情 爱情,9.3,138766,永远的小人物，伟大的卓别林。
雨人,1988,美国,剧情,8.7,390415,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
心灵奇旅,2020,美国,动画 奇幻 音乐,8.7,928404,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
源代码,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,806273,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
